,Location,Year,Production (mt),Area (ha),Yield (mt/ha)
276,DAVAO DE ORO,2001,14373.88,11660,1.232751286
277,DAVAO DEL NORTE,2001,664.57,621,1.070161031
278,DAVAO DEL SUR,2001,3815.85,3800,1.004171053
279,DAVAO ORIENTAL,2001,1378.78,1520,0.907092105
280,DAVAO CITY,2001,6350.94,5612,1.131671418
281,COTABATO,2001,889.76,2425,0.36691134
282,SARANGANI,2001,173.74,144,1.206527778
283,SULTAN KUDARAT,2001,5970.18,10668,0.559634421
284,SOUTH COTABATO,2001,1763.05,1040,1.695240385
285,AGUSAN DEL NORTE,2001,269.16,214,1.257757009
286,AGUSAN DEL SUR,2001,373.68,1450,0.257710345
287,SURIGAO DEL NORTE,2001,12.9,16,0.80625
288,SURIGAO DEL SUR,2001,3163.5,2650,1.193773585
289,BASILAN,2001,1832.29,2907,0.630302718
290,LANAO DEL SUR,2001,185.5,1972,0.094066937
291,MAGUINDANAO,2001,2985.6,3416.49,0.873879332
292,SULU,2001,2452.68,1015,2.416433498
293,ZAMBOANGA DEL NORTE,2002,189.54,233,0.813476395
294,ZAMBOANGA DEL SUR,2002,95.15,135,0.704814815
295,ZAMBOANGA SIBUGAY,2002,49.23,84.58,0.582052495
296,ZAMBOANGA CITY,2002,115.71,80,1.446375
297,BUKIDNON,2002,4806.75,10500,0.457785714
298,CAMIGUIN,2002,33.49,40,0.83725
299,LANAO DEL NORTE,2002,148.67,360,0.412972222
300,MISAMIS OCCIDENTAL,2002,4.16,97,0.042886598
301,MISAMIS ORIENTAL,2002,322.43,390,0.82674359
302,DAVAO DE ORO,2002,13462.18,11660,1.154560892
303,DAVAO DEL NORTE,2002,653.09,625,1.044944
304,DAVAO DEL SUR,2002,3369.61,2905,1.159934596
305,DAVAO ORIENTAL,2002,1366.37,1522,0.897746386
306,DAVAO CITY,2002,6166.21,5331,1.156670418
307,COTABATO,2002,870.06,2426.12,0.358621997
308,SARANGANI,2002,172.7,144,1.199305556
309,SULTAN KUDARAT,2002,5970.84,10668,0.559696288
310,SOUTH COTABATO,2002,1266.69,732.95,1.728207927
311,AGUSAN DEL NORTE,2002,272.86,214,1.275046729
312,AGUSAN DEL SUR,2002,383.32,1500,0.255546667
313,SURIGAO DEL NORTE,2002,9.37,16,0.585625
314,SURIGAO DEL SUR,2002,3184.36,2650,1.201645283
315,BASILAN,2002,1797.69,2907,0.618400413
316,LANAO DEL SUR,2002,216.84,1972,0.109959432
317,MAGUINDANAO,2002,2974.32,3408,0.872746479
318,SULU,2002,2362.75,1021,2.314152791
319,ZAMBOANGA DEL NORTE,2003,191.99,233,0.823991416
320,ZAMBOANGA DEL SUR,2003,88.98,135,0.659111111
321,ZAMBOANGA SIBUGAY,2003,54.48,84.58,0.644123906
322,ZAMBOANGA CITY,2003,95.3,80,1.19125
323,BUKIDNON,2003,4688.88,10500,0.44656
324,CAMIGUIN,2003,29.57,36,0.821388889
325,LANAO DEL NORTE,2003,146.7,355,0.413239437
326,MISAMIS OCCIDENTAL,2003,3.55,97,0.036597938
327,MISAMIS ORIENTAL,2003,342.97,390,0.879410256
328,DAVAO DE ORO,2003,13056.48,11543,1.131116694
329,DAVAO DEL NORTE,2003,679.69,627,1.084035088
330,DAVAO DEL SUR,2003,3306.3,2905,1.138141136
331,DAVAO ORIENTAL,2003,1372.74,1522,0.901931669
332,DAVAO CITY,2003,6154.01,5278,1.165973854
333,COTABATO,2003,1067.51,2426.12,0.44000709
334,SARANGANI,2003,121.83,144,0.846041667
335,SULTAN KUDARAT,2003,6054.98,10668,0.567583427
336,SOUTH COTABATO,2003,1413.61,732.95,1.928658162
337,AGUSAN DEL NORTE,2003,320.58,262,1.223587786
338,AGUSAN DEL SUR,2003,375.03,1650,0.227290909
339,SURIGAO DEL NORTE,2003,5.87,16,0.366875
340,SURIGAO DEL SUR,2003,3201.3,2650,1.208037736
341,BASILAN,2003,2161.97,2907,0.74371173
342,LANAO DEL SUR,2003,248.43,1972,0.125978702
343,MAGUINDANAO,2003,2785.38,3425,0.813249635
344,SULU,2003,2387.24,1021,2.338139079
345,ZAMBOANGA DEL NORTE,2004,275.06,367,0.749482289
346,ZAMBOANGA DEL SUR,2004,86.52,127,0.681259843
347,ZAMBOANGA SIBUGAY,2004,58.72,84.58,0.694253961
348,ZAMBOANGA CITY,2004,83.52,68,1.228235294
349,BUKIDNON,2004,4680.44,10500,0.44575619
350,CAMIGUIN,2004,27.72,34,0.815294118
351,LANAO DEL NORTE,2004,146.12,355,0.411605634
352,MISAMIS OCCIDENTAL,2004,3.13,90,0.034777778
353,MISAMIS ORIENTAL,2004,319.52,390,0.819282051
354,DAVAO DE ORO,2004,11386.97,11513,0.989053244
355,DAVAO DEL NORTE,2004,683.27,634,1.077712934
356,DAVAO DEL SUR,2004,3215.73,2905,1.106963855
357,DAVAO ORIENTAL,2004,1375.6,1520,0.905
