,Year,Location,Wind_Direction,Wind_Speed_(km/h),temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),surface_pressure (hPa),et0_fao_evapotranspiration (mm),vapor_pressure_deficit (kPa),soil_temperature_28_to_100cm (°C),soil_moisture_28_to_100cm (m³/m³),direct_radiation (W/m²),diffuse_radiation (W/m²),rain (mm),weathercode (wmo code),windgusts_10m (km/h),cloudcover (%),Production (mt),Area (ha),Yield (mt/ha)
291,2002,DAVAO DEL SUR,0,4.0,25.58,83.195,22.2575,984.1475,0.16,0.6225,26.385,0.43,144.995,71.06,1933.55,1,14.4,100,3369.61,2905.0,1.159934596
292,2003,DAVAO DEL SUR,11,4.0,25.3775,85.08,22.48,984.0375,0.15,0.5475,26.2675,0.4475,130.065,75.59,2624.45,1,16.2,100,3306.3,2905.0,1.138141136
293,2004,DAVAO DEL SUR,11,5.8,25.62,83.9325,22.4975,983.8325,0.16,0.59,26.41,0.43,142.825,72.37,2029.55,1,12.2,100,3215.73,2905.0,1.106963855
294,2005,DAVAO DEL SUR,0,4.0,25.6075,83.47,22.32,984.1125,0.15,0.6175,26.5525,0.435,130.39,76.125,2401.4,1,9.7,100,3205.95,2905.0,1.103597246
295,2006,DAVAO DEL SUR,0,4.0,25.4325,84.8725,22.5075,983.9025,0.15,0.5525,26.15,0.45,135.8,73.66999999999999,2362.05,1,12.6,100,3086.73,2905.0,1.062557659
296,2007,DAVAO DEL SUR,0,4.0,25.4675,84.96000000000001,22.5275,983.4075,0.15,0.5549999999999999,26.31,0.445,129.96,75.11,2761.3,1,14.4,100,3023.58,2870.0,1.053512195
297,2008,DAVAO DEL SUR,0,4.0,25.11,86.4125,22.5125,983.3875,0.15,0.485,25.9725,0.4725,126.03,76.9,3121.25,1,9.7,100,2924.68,2856.0,1.024047619
298,2009,DAVAO DEL SUR,11,4.0,25.4625,85.6725,22.715,983.3575,0.15,0.52,26.175,0.4625,129.135,76.03999999999999,2553.0,1,13.3,100,2935.89,2856.0,1.027972689
299,2010,DAVAO DEL SUR,0,4.0,25.88,83.345,22.5875,983.7875,0.16,0.6275,26.6275,0.4425,140.985,71.58500000000001,2504.25,1,10.8,100,2664.25,2856.0,0.932860644
300,2011,DAVAO DEL SUR,11,4.0,25.0875,87.565,22.735,983.0825,0.14,0.4425,25.97,0.475,114.14,79.805,3512.1000000000004,2,10.4,100,2684.63,2856.0,0.939996499
301,2012,DAVAO DEL SUR,0,4.0,25.235,86.195,22.605,983.4725,0.15,0.4975,26.0075,0.4674999999999999,126.48,75.875,2841.6000000000004,1,12.6,100,2697.61,2856.0,0.944541317
302,2013,DAVAO DEL SUR,0,4.0,25.34,86.225,22.7025,983.555,0.145,0.5025,26.0625,0.46,122.495,75.21000000000001,3226.35,1,13.7,100,2707.63,2856.0,0.94804972
303,2014,DAVAO DEL SUR,11,4.0,25.48,85.63,22.7175,983.8275,0.15,0.525,26.2375,0.4649999999999999,127.155,75.03,2816.95,1,11.9,100,2831.39,2896.0,0.977689917
304,2015,DAVAO DEL SUR,0,4.0,25.93,82.11500000000001,22.36,984.6825,0.16,0.6725,26.6725,0.4275,142.735,70.13499999999999,2077.35,1,12.6,100,2925.97,2896.0,1.010348757
305,2016,DAVAO DEL SUR,0,4.0,26.49,80.895,22.5375,984.27,0.16,0.7625,27.57,0.415,140.035,72.99000000000001,2507.0,1,11.5,100,2849.12,2896.0,0.983812155
306,2017,DAVAO DEL SUR,0,4.0,25.4925,86.78750000000001,22.985,983.715,0.14,0.4775,26.315,0.4725,114.215,78.37,3513.7,1,11.5,100,2732.78,2896.0,0.943639503
307,2018,DAVAO DEL SUR,0,4.0,25.995,83.48,22.7725,983.6525,0.16,0.62,26.6075,0.455,142.735,71.94,2318.9,1,13.0,100,2793.29,2895.0,0.964867012
308,2019,DAVAO DEL SUR,0,4.0,26.1625,81.37,22.43,984.485,0.16,0.71,26.8025,0.435,144.89,70.745,1989.9,1,11.2,100,1600.98,1669.25,0.959101393
309,2020,DAVAO DEL SUR,0,4.0,26.08,83.285,22.7375,984.1675,0.16,0.6425,26.9225,0.44,136.635,71.435,2667.7,1,10.8,100,1638.05,1518.35,1.078835578
310,2021,DAVAO DEL SUR,0,1.8,25.58,86.3775,22.975,983.7125,0.15,0.4975,26.3675,0.4674999999999999,123.935,76.11500000000001,3336.3500000000004,1,9.0,100,1746.69,1518.35,1.150386933
311,1990,DAVAO ORIENTAL,5,14.2,26.51,83.42,23.42,1008.46,0.16,0.58,28.12,0.24,153.26,68.46,2101.5,1,22.0,100,1516.34,1460.0,1.038589041
312,1991,DAVAO ORIENTAL,5,11.4,26.32,83.5,23.26,1008.77,0.16,0.57,27.98,0.22,146.49,72.78,1907.4,1,20.9,100,1557.3,1501.0,1.037508328
313,1992,DAVAO ORIENTAL,5,10.0,26.42,81.93,23.02,1009.14,0.16,0.63,28.57,0.2,151.26,72.7,1910.6,1,22.3,100,1584.66,1499.0,1.057144763
314,1993,DAVAO ORIENTAL,5,9.7,26.17,84.54,23.32,1008.91,0.15,0.53,27.71,0.27,148.3,70.41,2100.4,1,23.8,100,1546.55,1491.0,1.037256875
315,1994,DAVAO ORIENTAL,5,10.0,26.41,83.64,23.38,1008.53,0.16,0.57,27.94,0.24,147.66,70.01,2266.7,1,23.8,100,1508.0,1483.0,1.016857721
316,1995,DAVAO ORIENTAL,5,10.0,26.38,83.71,23.36,1008.54,0.15,0.57,28.06,0.24,145.23,70.05,2156.9,1,20.5,100,1473.37,1470.0,1.002292517
317,1996,DAVAO ORIENTAL,1,10.0,26.25,85.16,23.53,1007.77,0.15,0.51,27.63,0.29,137.95,71.94,2769.0,51,17.6,100,1378.81,1482.0,0.93037112
318,1997,DAVAO ORIENTAL,5,10.0,26.17,84.22,23.26,1009.52,0.15,0.54,27.58,0.27,151.36,66.8,2182.5,1,24.1,100,1297.37,1493.0,0.86896852
319,1998,DAVAO ORIENTAL,5,10.0,26.85,80.89,23.21,1009.42,0.17,0.69,28.73,0.2,155.26,66.43,1726.3,1,18.7,100,1296.04,1487.0,0.871580363
320,1999,DAVAO ORIENTAL,5,8.4,26.2,85.0,23.45,1007.7,0.14,0.52,27.33,0.33,127.17,73.25,2779.8,1,24.1,100,1322.96,1497.0,0.883740815
321,2000,DAVAO ORIENTAL,5,10.0,26.27,84.85,23.49,1007.52,0.14,0.53,27.3,0.32,124.24,74.86,2878.6,1,17.3,100,1343.52,1505.0,0.892704319
322,2001,DAVAO ORIENTAL,5,10.0,26.44,84.36,23.55,1007.73,0.15,0.55,27.58,0.31,134.9,72.98,2874.0,1,16.9,100,1378.78,1520.0,0.907092105
323,2002,DAVAO ORIENTAL,5,10.0,26.47,83.36,23.38,1008.61,0.16,0.58,27.76,0.29,147.45,68.84,2286.7,1,22.3,100,1366.37,1522.0,0.897746386
324,2003,DAVAO ORIENTAL,5,10.0,26.32,84.67,23.5,1008.49,0.15,0.53,27.77,0.28,134.49,72.71,2653.7,1,14.0,100,1372.74,1522.0,0.901931669
325,2004,DAVAO ORIENTAL,5,9.7,26.48,84.44,23.61,1008.17,0.16,0.55,28.0,0.26,151.04,69.63,1801.1,1,19.4,100,1375.6,1520.0,0.905
326,2005,DAVAO ORIENTAL,5,10.0,26.49,83.37,23.39,1008.61,0.15,0.58,28.11,0.24,142.44,70.92,2481.0,1,18.7,100,1378.95,1520.0,0.907203947
327,2006,DAVAO ORIENTAL,5,10.0,26.54,83.59,23.5,1008.3,0.15,0.58,27.73,0.29,141.55,71.11,2549.6,1,22.3,100,1367.12,1508.0,0.906578249
328,2007,DAVAO ORIENTAL,5,10.5,26.5,83.81,23.5,1007.88,0.15,0.57,27.79,0.3,140.17,70.6,2670.8,1,22.7,100,1338.4,1503.0,0.890485695
329,2008,DAVAO ORIENTAL,5,10.0,26.28,84.34,23.39,1007.89,0.15,0.54,27.45,0.32,133.31,72.73,2362.4,1,20.9,100,1323.98,1495.0,0.885605351
330,2009,DAVAO ORIENTAL,5,10.0,26.64,84.21,23.72,1007.63,0.15,0.56,27.74,0.32,137.28,72.16,3221.6,1,15.8,100,1294.01,1495.0,0.865558528
331,2010,DAVAO ORIENTAL,5,10.0,26.74,82.68,23.5,1008.49,0.16,0.62,28.13,0.26,151.41,66.69,1836.1,1,20.5,100,1276.3,1495.0,0.853712375
332,2011,DAVAO ORIENTAL,5,10.0,26.36,85.08,23.63,1007.44,0.14,0.52,27.47,0.33,125.28,75.41,3106.1,1,22.0,100,1255.53,1492.0,0.841508043
333,2012,DAVAO ORIENTAL,5,10.8,26.52,83.82,23.53,1007.88,0.15,0.57,27.61,0.31,134.56,72.53,2658.5,1,19.4,100,1217.51,1481.0,0.822086428
334,2013,DAVAO ORIENTAL,5,7.6,26.57,84.12,23.64,1007.98,0.15,0.56,27.66,0.31,132.14,71.89,2964.9,1,20.2,100,1186.33,1161.0,1.021817399
335,2014,DAVAO ORIENTAL,5,10.0,26.46,85.0,23.71,1008.16,0.15,0.53,27.68,0.32,138.25,71.29,3310.6,1,15.8,100,1147.9,1183.0,0.97032967
336,2015,DAVAO ORIENTAL,5,12.1,26.49,83.5,23.43,1009.19,0.16,0.58,27.99,0.27,157.11,65.45,2356.8,1,22.3,100,1123.41,1183.0,0.949628064
337,2016,DAVAO ORIENTAL,5,9.7,27.04,82.1,23.67,1008.84,0.16,0.65,28.7,0.24,147.73,70.05,2325.3,1,19.1,100,1111.54,1179.0,0.942782019
338,2017,DAVAO ORIENTAL,5,8.9,26.64,84.87,23.85,1008.13,0.14,0.54,27.76,0.33,125.8,73.6,3171.4,51,15.8,100,1126.31,1229.0,0.916444264
339,2018,DAVAO ORIENTAL,5,10.0,26.88,83.41,23.8,1008.02,0.16,0.6,28.15,0.27,149.57,69.14,2317.8,1,16.9,100,1127.65,1231.0,0.916043867
340,2019,DAVAO ORIENTAL,5,13.4,26.67,83.13,23.52,1009.06,0.16,0.6,28.12,0.26,156.09,67.0,2088.6,1,24.5,100,1105.3,1231.0,0.897887896
341,2020,DAVAO ORIENTAL,5,10.7,26.86,82.64,23.6,1008.8,0.16,0.62,28.35,0.26,147.18,67.5,2061.3,1,19.4,100,1086.29,1234.0,0.880299838
342,2021,DAVAO ORIENTAL,5,10.5,26.69,84.49,23.83,1008.11,0.15,0.55,27.85,0.32,136.09,70.85,2711.4,1,10.8,100,1063.32,1234.0,0.861685575
343,1990,LANAO DEL NORTE,8,3.6,23.38,86.59,20.92,956.53,0.15,0.41,24.22,0.43,158.09,69.29,2113.6,1,9.7,100,54.11,265.0,0.204188679
344,1991,LANAO DEL NORTE,8,3.1,23.31,86.76,20.89,956.72,0.16,0.41,24.12,0.44,156.39,72.91,2098.1,1,11.2,100,40.01,200.0,0.20005
345,1992,LANAO DEL NORTE,8,3.6,23.3,85.59,20.64,957.01,0.16,0.44,24.2,0.43,157.63,73.21,1904.7,1,9.7,100,39.47,200.0,0.19735
346,1993,LANAO DEL NORTE,8,3.6,23.18,87.63,20.93,956.86,0.15,0.37,23.94,0.46,149.34,72.64,2755.6,1,10.1,100,39.64,200.0,0.1982
347,1994,LANAO DEL NORTE,8,3.1,23.22,87.27,20.89,956.63,0.15,0.39,24.01,0.46,152.12,70.86,2347.5,1,10.1,100,37.97,190.0,0.199842105
348,1995,LANAO DEL NORTE,8,3.1,23.27,88.43,21.19,956.44,0.15,0.35,24.08,0.48,149.46,70.62,3700.7,1,9.4,100,38.44,190.0,0.202315789
349,1996,LANAO DEL NORTE,6,3.1,23.16,88.59,21.11,955.85,0.14,0.34,23.9,0.47,140.2,72.66,4125.9,1,8.6,100,75.34,188.0,0.400744681
350,1997,LANAO DEL NORTE,8,3.1,23.19,87.01,20.81,957.48,0.15,0.4,23.96,0.45,158.46,67.6,2489.3,1,9.4,100,60.2,188.0,0.320212766
351,1998,LANAO DEL NORTE,8,3.6,23.88,85.54,21.19,957.05,0.16,0.46,24.79,0.43,166.84,66.78,3056.2,1,11.2,100,59.14,188.0,0.314574468
352,1999,LANAO DEL NORTE,8,4.1,23.1,88.62,21.05,955.72,0.14,0.34,23.85,0.47,133.71,73.81,4945.2,1,9.7,100,136.49,200.0,0.68245
353,2000,LANAO DEL NORTE,8,3.6,23.24,88.09,21.09,955.57,0.14,0.36,23.87,0.47,137.4,73.42,4134.7,1,11.2,100,137.6,283.0,0.486219081
354,2001,LANAO DEL NORTE,8,3.1,23.3,87.75,21.09,955.88,0.15,0.37,23.98,0.47,139.9,73.09,3049.7,1,11.5,100,144.87,283.0,0.511908127
355,2002,LANAO DEL NORTE,8,4.1,23.25,87.35,20.95,956.7,0.15,0.38,23.98,0.46,152.91,69.18,2213.8,1,11.2,100,148.67,360.0,0.412972222
356,2003,LANAO DEL NORTE,8,3.6,23.22,88.16,21.08,956.63,0.14,0.36,24.01,0.47,138.26,72.86,2891.0,1,8.6,100,146.7,355.0,0.413239437
357,2004,LANAO DEL NORTE,8,3.6,23.35,87.36,21.05,956.41,0.15,0.39,24.09,0.46,151.36,71.3,2464.7,1,8.6,100,146.12,355.0,0.411605634
358,2005,LANAO DEL NORTE,8,3.1,23.27,87.73,21.05,956.67,0.15,0.37,24.08,0.46,144.47,71.54,3303.9,1,10.4,100,216.41,810.0,0.26717284
359,2006,LANAO DEL NORTE,8,3.6,23.39,87.32,21.09,956.39,0.15,0.39,24.04,0.46,147.79,71.6,2703.9,1,9.7,100,213.31,810.0,0.263345679
360,2007,LANAO DEL NORTE,8,4.1,23.42,87.75,21.2,955.93,0.15,0.37,24.12,0.47,141.07,71.89,3627.6,1,9.4,100,226.55,810.0,0.279691358
361,2008,LANAO DEL NORTE,8,3.6,23.24,88.12,21.1,955.82,0.14,0.36,23.91,0.47,139.32,73.13,4283.9,1,10.1,100,224.0,802.0,0.279301746
362,2009,LANAO DEL NORTE,8,4.1,23.42,87.2,21.08,955.91,0.15,0.39,24.07,0.46,139.77,71.49,3375.7,1,10.1,100,229.4,802.0,0.286034913
363,2010,LANAO DEL NORTE,8,3.6,23.63,88.07,21.47,956.31,0.15,0.37,24.38,0.47,152.6,68.87,4177.9,1,10.1,100,223.6,802.0,0.278802993
364,2011,LANAO DEL NORTE,8,3.1,23.3,88.56,21.24,955.56,0.14,0.35,23.93,0.48,124.93,76.51,4168.1,1,11.2,100,213.38,802.0,0.26605985
365,2012,LANAO DEL NORTE,8,3.6,23.44,87.48,21.17,955.9,0.15,0.38,24.07,0.47,140.88,72.82,3181.5,1,9.7,100,202.0,802.0,0.251870324
366,2013,LANAO DEL NORTE,8,3.6,23.45,88.13,21.31,956.05,0.14,0.36,24.1,0.48,136.08,72.68,4012.4,1,9.0,100,194.96,802.0,0.243092269
367,2014,LANAO DEL NORTE,8,3.1,23.27,88.15,21.12,956.44,0.14,0.36,23.96,0.47,131.01,73.14,3621.0,1,9.4,100,204.2,810.0,0.252098765
368,2015,LANAO DEL NORTE,8,3.1,23.5,86.54,21.04,957.24,0.15,0.41,24.23,0.45,151.74,68.71,2672.7,1,10.8,100,202.45,815.0,0.248404908
369,2016,LANAO DEL NORTE,8,3.6,23.92,86.61,21.46,956.84,0.15,0.42,24.7,0.44,151.99,70.48,2934.8,1,10.4,100,222.75,850.0,0.262058824
370,2017,LANAO DEL NORTE,8,3.1,23.57,88.68,21.54,956.27,0.14,0.35,24.23,0.48,127.09,75.31,4287.3,1,10.4,100,233.2,850.0,0.274352941
371,2018,LANAO DEL NORTE,8,3.1,23.65,86.81,21.24,956.27,0.15,0.41,24.37,0.46,149.11,71.39,2501.6,1,10.8,100,240.25,882.0,0.27239229
372,2019,LANAO DEL NORTE,8,3.6,23.71,85.39,20.99,957.1,0.16,0.46,24.45,0.43,154.47,70.88,2296.7,1,10.1,100,258.12,885.0,0.291661017
373,2020,LANAO DEL NORTE,8,3.1,23.8,88.07,21.64,956.74,0.15,0.37,24.59,0.46,144.98,71.25,4222.2,1,10.1,100,270.0,890.0,0.303370787
374,2021,LANAO DEL NORTE,8,3.1,23.7,87.9,21.51,956.26,0.14,0.38,24.36,0.47,134.66,73.09,4756.6,1,9.4,100,280.05,890.0,0.314662921
375,1990,LANAO DEL SUR,11,2.5,24.53,85.91,21.92,973.37,0.16,0.46,25.48,0.36,158.41,67.46,3138.8,1,9.0,100,282.04,2041.0,0.138187163
376,1991,LANAO DEL SUR,11,4.0,24.4,86.03,21.82,973.59,0.16,0.45,25.36,0.37,157.03,70.68,2887.4,1,9.4,100,377.65,2492.0,0.151544944
377,1992,LANAO DEL SUR,11,4.0,24.38,85.85,21.75,973.87,0.16,0.46,25.37,0.36,156.7,72.05,2824.1,1,9.4,100,352.45,2464.0,0.143039773
378,1993,LANAO DEL SUR,11,2.2,24.31,86.44,21.82,973.73,0.15,0.43,25.24,0.39,152.89,70.82,3536.2,1,8.6,100,351.13,2416.0,0.145335265
379,1994,LANAO DEL SUR,11,4.0,24.27,86.51,21.79,973.54,0.15,0.43,25.16,0.37,150.6,69.67,3262.7,1,8.3,100,351.85,2399.0,0.146665277
380,1995,LANAO DEL SUR,13,1.9,24.49,86.69,22.04,973.27,0.15,0.43,25.47,0.4,153.74,68.93,4073.3,1,8.6,100,346.51,2356.0,0.147075552
381,1996,LANAO DEL SUR,9,2.1,24.28,87.17,21.93,972.69,0.15,0.41,25.21,0.39,140.93,72.33,4732.3,51,6.8,100,240.07,1840.0,0.130472826
382,1997,LANAO DEL SUR,11,2.5,24.32,86.11,21.76,974.35,0.15,0.45,25.27,0.38,159.7,66.52,3050.6,1,9.4,100,308.66,1954.0,0.157963153
383,1998,LANAO DEL SUR,13,3.4,25.1,84.37,22.11,973.87,0.17,0.54,26.2,0.34,170.49,65.02,3268.3,1,7.6,100,273.35,1950.0,0.140179487
384,1999,LANAO DEL SUR,11,2.9,24.21,87.09,21.86,972.61,0.14,0.41,25.12,0.4,135.6,73.87,4640.0,1,9.4,100,252.93,1972.0,0.128260649
385,2000,LANAO DEL SUR,11,2.5,24.33,86.76,21.91,972.45,0.15,0.42,25.15,0.39,137.3,74.15,4344.8,1,8.3,100,209.33,1972.0,0.106151116
386,2001,LANAO DEL SUR,11,4.0,24.38,86.75,21.95,972.79,0.15,0.43,25.23,0.39,141.74,72.63,4166.2,1,8.3,100,185.5,1972.0,0.094066937
387,2002,LANAO DEL SUR,11,4.0,24.47,85.98,21.89,973.54,0.15,0.46,25.35,0.39,156.94,66.3,3397.1,1,9.7,100,216.84,1972.0,0.109959432
388,2003,LANAO DEL SUR,11,2.2,24.4,86.8,21.98,973.43,0.15,0.42,25.31,0.39,140.43,71.61,4006.3,1,9.0,100,248.43,1972.0,0.125978702
389,2004,LANAO DEL SUR,11,4.0,24.36,87.09,22.01,973.29,0.15,0.41,25.28,0.39,149.01,69.5,3743.8,1,8.3,100,280.66,2317.0,0.121130773
390,2005,LANAO DEL SUR,11,4.0,24.45,86.7,22.01,973.5,0.15,0.43,25.37,0.39,144.54,70.13,4399.3,1,8.3,100,290.51,2317.0,0.125381959
391,2006,LANAO DEL SUR,11,4.0,24.41,86.72,21.98,973.3,0.15,0.43,25.23,0.39,146.23,69.94,3850.8,1,9.0,100,297.5,2317.0,0.128398792
392,2007,LANAO DEL SUR,11,4.0,24.5,86.64,22.04,972.78,0.15,0.43,25.39,0.4,140.46,71.85,4416.4,1,8.6,100,292.9,2440.0,0.120040984
393,2008,LANAO DEL SUR,11,2.2,24.32,86.67,21.87,972.71,0.15,0.43,25.17,0.4,142.58,71.46,4349.2,1,7.9,100,277.65,2400.0,0.1156875
394,2009,LANAO DEL SUR,11,4.0,24.45,86.79,22.04,972.79,0.14,0.43,25.28,0.39,138.32,71.67,4461.8,1,9.7,100,296.2,2400.0,0.123416667
395,2010,LANAO DEL SUR,13,2.3,24.92,85.7,22.26,973.08,0.16,0.48,25.79,0.39,157.53,67.47,3993.0,1,7.2,100,285.45,2400.0,0.1189375
396,2011,LANAO DEL SUR,11,2.9,24.32,87.39,22.02,972.46,0.14,0.4,25.14,0.4,125.68,76.27,4651.4,1,8.6,100,289.92,2400.0,0.1208
397,2012,LANAO DEL SUR,11,4.0,24.4,86.52,21.93,972.83,0.14,0.43,25.2,0.39,137.67,72.11,4565.4,1,8.3,100,291.48,2400.0,0.12145
398,2013,LANAO DEL SUR,11,4.0,24.49,86.78,22.07,972.92,0.14,0.43,25.28,0.4,134.3,71.2,5182.8,1,8.3,100,300.2,2400.0,0.125083333
399,2014,LANAO DEL SUR,11,4.0,24.41,86.84,22.01,973.25,0.14,0.42,25.23,0.4,132.81,72.65,4225.4,1,9.4,100,301.9,2400.0,0.125791667
400,2015,LANAO DEL SUR,11,2.9,24.55,86.2,22.01,974.09,0.15,0.45,25.37,0.38,152.92,65.97,4227.5,1,8.3,100,311.03,2650.0,0.117369811
401,2016,LANAO DEL SUR,11,4.0,25.0,86.14,22.43,973.67,0.15,0.46,25.93,0.38,151.44,69.58,4100.6,1,9.0,100,315.25,2650.0,0.118962264
402,2017,LANAO DEL SUR,11,2.5,24.67,86.99,22.29,973.1,0.14,0.42,25.49,0.4,128.94,74.27,4929.7,1,8.3,100,313.34,2650.0,0.118241509
403,2018,LANAO DEL SUR,11,4.0,24.77,85.9,22.17,973.12,0.15,0.46,25.62,0.39,151.56,69.07,3652.1,1,9.4,100,324.6,2650.0,0.122490566
404,2019,LANAO DEL SUR,11,4.0,24.73,85.56,22.06,973.94,0.15,0.47,25.6,0.38,154.04,67.77,3393.2,1,9.4,100,325.67,2650.0,0.12289434
405,2020,LANAO DEL SUR,11,4.0,25.04,86.34,22.51,973.54,0.15,0.46,25.93,0.39,147.33,68.18,4403.7,1,8.3,100,325.83,2650.0,0.122954717
406,2021,LANAO DEL SUR,11,4.0,24.79,86.84,22.37,973.12,0.15,0.43,25.61,0.4,136.73,71.78,4672.5,1,8.3,100,325.77,2651.0,0.122885704
407,1990,MAGUINDANAO,10,3.1,21.99,84.4,19.09,910.59,0.15,0.45,23.43,0.36,160.8,69.0,2938.6,1,12.6,100,1780.19,2368.0,0.751769426
408,1991,MAGUINDANAO,10,3.6,21.86,84.35,18.95,910.74,0.15,0.44,23.3,0.36,156.54,72.72,2732.3,1,10.8,100,2307.36,3194.0,0.722404508
409,1992,MAGUINDANAO,10,3.6,21.87,83.77,18.82,911.02,0.15,0.46,23.43,0.34,155.01,74.43,2867.2,51,12.2,100,1964.83,3166.0,0.620603285
410,1993,MAGUINDANAO,10,3.1,21.7,85.75,19.08,910.84,0.15,0.4,23.17,0.39,153.6,72.19,3576.7,51,10.4,100,2352.23,3285.0,0.71605175
411,1994,MAGUINDANAO,10,3.1,21.68,85.43,19.0,910.66,0.15,0.41,23.09,0.38,153.36,71.15,3335.2,51,11.5,100,2352.32,3277.0,0.717827281
412,1995,MAGUINDANAO,10,3.1,21.81,86.04,19.24,910.43,0.15,0.4,23.29,0.39,148.48,72.13,4318.3,51,11.2,100,3152.55,3262.0,0.966446965
413,1996,MAGUINDANAO,10,3.6,21.63,86.83,19.24,909.84,0.14,0.37,23.06,0.4,139.12,74.73,4562.0,51,9.7,100,3202.16,3262.0,0.981655426
414,1997,MAGUINDANAO,10,3.6,21.74,85.2,19.02,911.41,0.15,0.42,23.18,0.38,158.99,69.74,3095.1,51,10.8,100,3265.53,3262.0,1.001082158
415,1998,MAGUINDANAO,4,3.1,22.48,82.34,19.05,911.16,0.16,0.53,24.16,0.34,161.42,67.64,4416.8,51,12.2,100,3321.04,3425.0,0.969646715
416,1999,MAGUINDANAO,10,3.6,21.52,87.35,19.22,909.73,0.14,0.35,22.95,0.41,129.98,76.51,5203.3,51,12.2,100,3241.03,3425.0,0.946286131
417,2000,MAGUINDANAO,10,5.4,21.63,86.81,19.23,909.62,0.14,0.37,23.01,0.41,131.13,76.97,4446.0,51,11.5,100,3352.09,3425.0,0.978712409
418,2001,MAGUINDANAO,10,2.3,21.73,86.38,19.25,909.96,0.14,0.38,23.11,0.4,138.72,74.94,3978.6,51,11.9,100,2985.6,3416.49,0.873879332
419,2002,MAGUINDANAO,10,4.1,21.89,84.91,19.1,910.71,0.15,0.43,23.25,0.38,158.51,68.92,3145.8,1,11.5,100,2974.32,3408.0,0.872746479
420,2003,MAGUINDANAO,11,2.5,21.84,85.82,19.24,910.59,0.15,0.4,23.26,0.39,143.52,72.89,3799.5,51,10.4,100,2785.38,3425.0,0.813249635
421,2004,MAGUINDANAO,10,3.6,21.85,85.92,19.27,910.48,0.15,0.4,23.27,0.38,150.88,71.34,3362.0,51,10.8,100,2771.78,3430.0,0.808099125
422,2005,MAGUINDANAO,10,3.1,21.88,85.56,19.21,910.68,0.15,0.41,23.32,0.38,143.97,73.18,4081.9,51,10.8,100,3150.0,3432.0,0.917832168
423,2006,MAGUINDANAO,10,3.6,21.79,85.94,19.22,910.46,0.15,0.4,23.12,0.4,142.17,73.48,3603.5,51,11.5,100,3141.1,3432.0,0.915238928
424,2007,MAGUINDANAO,10,1.3,21.88,86.11,19.33,909.99,0.14,0.39,23.27,0.4,139.87,74.0,4274.0,51,13.7,100,2884.2,3432.0,0.840384615
425,2008,MAGUINDANAO,10,3.1,21.65,86.71,19.22,909.86,0.14,0.37,23.03,0.41,136.37,74.97,5087.7,51,10.8,100,2885.5,3432.0,0.840763403
426,2009,MAGUINDANAO,10,3.1,21.92,85.92,19.35,910.02,0.15,0.4,23.23,0.4,140.77,75.0,3424.3,1,10.8,100,2888.0,3433.0,0.841246723
427,2010,MAGUINDANAO,4,3.1,22.19,85.19,19.44,910.35,0.15,0.43,23.62,0.39,150.46,70.07,5158.3,51,12.2,100,2887.75,3433.5,0.841051405
428,2011,MAGUINDANAO,10,4.1,21.71,87.19,19.39,909.66,0.14,0.36,23.04,0.41,125.05,78.46,4849.7,51,11.9,100,2885.0,3435.0,0.839883552
429,2012,MAGUINDANAO,10,5.4,21.74,86.31,19.25,910.01,0.14,0.38,23.04,0.4,133.64,74.85,4216.8,51,12.2,100,2900.75,3435.0,0.844468705
430,2013,MAGUINDANAO,10,1.3,21.84,86.48,19.37,910.12,0.14,0.38,23.12,0.41,131.27,73.73,5356.7,51,11.5,100,2904.76,3435.0,0.845636099
431,2014,MAGUINDANAO,11,4.7,21.86,86.37,19.37,910.45,0.14,0.38,23.18,0.4,139.91,73.74,4011.1,51,13.0,100,2904.56,3435.0,0.845577875
432,2015,MAGUINDANAO,10,3.6,22.03,84.43,19.15,911.27,0.15,0.44,23.38,0.38,154.72,68.88,3406.5,1,10.8,100,2988.5,3435.0,0.870014556
433,2016,MAGUINDANAO,10,3.6,22.59,83.48,19.46,911.03,0.15,0.49,24.05,0.35,148.42,71.25,4312.0,51,11.5,100,2967.55,3430.0,0.865174927
434,2017,MAGUINDANAO,10,1.3,22.0,86.89,19.62,910.33,0.14,0.37,23.32,0.41,128.24,76.73,5444.4,51,13.7,100,2724.75,3429.0,0.794619423
435,2018,MAGUINDANAO,10,3.6,22.15,85.38,19.46,910.4,0.15,0.42,23.53,0.39,151.16,71.35,3503.6,1,11.2,100,2798.57,3429.0,0.816147565
436,2019,MAGUINDANAO,10,3.1,22.22,84.01,19.24,911.18,0.15,0.46,23.59,0.37,156.97,69.57,3278.6,1,10.4,100,3072.45,3434.0,0.894714619
437,2020,MAGUINDANAO,10,3.6,22.38,84.3,19.45,910.84,0.15,0.46,23.8,0.37,146.75,70.25,4820.6,51,12.2,100,3187.07,3434.0,0.928092603
438,2021,MAGUINDANAO,10,3.1,22.08,85.76,19.48,910.36,0.14,0.41,23.39,0.4,135.83,73.72,4934.4,51,11.2,100,3248.7,3434.0,0.946039604
439,1990,MISAMIS OCCIDENTAL,4,14.8,26.42,86.31,23.89,1007.37,0.16,0.49,27.51,0.37,167.58,65.74,1963.5,1,19.1,100,10.3,116.0,0.088793103
