,Year,Location,Production (mt),Area (ha),Yield (mt/ha)
392,2001,CAMIGUIN,44.12,30.0,1.4706666666666666
393,2001,LANAO DEL NORTE,144.87,283.0,0.5119081272084806
394,2001,MISAMIS OCCIDENTAL,5.34,97.0,0.055051546391752575
395,2001,MISAMIS ORIENTAL,314.33,388.0,0.8101288659793814
397,2001,DAVAO DE ORO,14373.88,11660.0,1.2327512864493997
398,2001,DAVAO DEL NORTE,664.57,621.0,1.0701610305958134
399,2001,DAVAO DEL SUR,3815.85,3800.0,1.004171052631579
400,2001,DAVAO OCCIDENTAL,0.0,0.0,
401,2001,DAVAO ORIENTAL,1378.78,1520.0,0.9070921052631579
402,2001,CITY OF DAVAO,6350.94,5612.0,1.131671418389166
404,2001,COTABATO,889.76,2425.0,0.36691134020618554
405,2001,SARANGANI,173.74,144.0,1.2065277777777779
406,2001,SULTAN KUDARAT,5970.18,10668.0,0.5596344206974129
407,2001,SOUTH COTABATO,1763.05,1040.0,1.6952403846153845
409,2001,AGUSAN DEL NORTE,269.16,214.0,1.2577570093457946
410,2001,AGUSAN DEL SUR,373.68,1450.0,0.2577103448275862
411,2001,DINAGAT ISLANDS,0.0,0.0,
412,2001,SURIGAO DEL NORTE,12.9,16.0,0.80625
413,2001,SURIGAO DEL SUR,3163.5,2650.0,1.1937735849056603
415,2001,BASILAN,1832.29,2907.0,0.6303027175782594
416,2001,LANAO DEL SUR,185.5,1972.0,0.09406693711967545
417,2001,MAGUINDANAO,2985.6,3416.49,0.8738793322971822
418,2001,SULU,2452.68,1015.0,2.4164334975369455
419,2001,TAWI-TAWI,0.0,0.0,
421,2002,ZAMBOANGA DEL NORTE,189.54,233.0,0.8134763948497854
422,2002,ZAMBOANGA DEL SUR,95.15,135.0,0.7048148148148149
423,2002,ZAMBOANGA SIBUGAY,49.23,84.58,0.5820524946795933
424,2002,CITY OF ZAMBOANGA,115.71,80.0,1.446375
426,2002,BUKIDNON,4806.75,10500.0,0.4577857142857143
427,2002,CAMIGUIN,33.49,40.0,0.83725
428,2002,LANAO DEL NORTE,148.67,360.0,0.4129722222222222
429,2002,MISAMIS OCCIDENTAL,4.16,97.0,0.04288659793814433
430,2002,MISAMIS ORIENTAL,322.43,390.0,0.8267435897435897
432,2002,DAVAO DE ORO,13462.18,11660.0,1.1545608919382504
433,2002,DAVAO DEL NORTE,653.09,625.0,1.044944
434,2002,DAVAO DEL SUR,3369.61,2905.0,1.159934595524957
435,2002,DAVAO OCCIDENTAL,0.0,0.0,
436,2002,DAVAO ORIENTAL,1366.37,1522.0,0.8977463863337712
437,2002,CITY OF DAVAO,6166.21,5331.0,1.1566704183080097
439,2002,COTABATO,870.06,2426.12,0.3586219972631197
440,2002,SARANGANI,172.7,144.0,1.1993055555555554
441,2002,SULTAN KUDARAT,5970.84,10668.0,0.5596962879640045
442,2002,SOUTH COTABATO,1266.69,732.95,1.7282079268708643
444,2002,AGUSAN DEL NORTE,272.86,214.0,1.2750467289719627
445,2002,AGUSAN DEL SUR,383.32,1500.0,0.25554666666666664
446,2002,DINAGAT ISLANDS,0.0,0.0,
447,2002,SURIGAO DEL NORTE,9.37,16.0,0.585625
448,2002,SURIGAO DEL SUR,3184.36,2650.0,1.201645283018868
450,2002,BASILAN,1797.69,2907.0,0.6184004127966977
451,2002,LANAO DEL SUR,216.84,1972.0,0.10995943204868154
452,2002,MAGUINDANAO,2974.32,3408.0,0.8727464788732395
453,2002,SULU,2362.75,1021.0,2.314152791380999
454,2002,TAWI-TAWI,0.0,0.0,
456,2003,ZAMBOANGA DEL NORTE,191.99,233.0,0.823991416309013
457,2003,ZAMBOANGA DEL SUR,88.98,135.0,0.6591111111111111
458,2003,ZAMBOANGA SIBUGAY,54.48,84.58,0.6441239063608418
459,2003,CITY OF ZAMBOANGA,95.3,80.0,1.19125
461,2003,BUKIDNON,4688.88,10500.0,0.44656
462,2003,CAMIGUIN,29.57,36.0,0.821388888888889
463,2003,LANAO DEL NORTE,146.7,355.0,0.4132394366197183
464,2003,MISAMIS OCCIDENTAL,3.55,97.0,0.03659793814432989
465,2003,MISAMIS ORIENTAL,342.97,390.0,0.8794102564102565
467,2003,DAVAO DE ORO,13056.48,11543.0,1.1311166941003206
468,2003,DAVAO DEL NORTE,679.69,627.0,1.0840350877192984
469,2003,DAVAO DEL SUR,3306.3,2905.0,1.1381411359724614
470,2003,DAVAO OCCIDENTAL,0.0,0.0,
471,2003,DAVAO ORIENTAL,1372.74,1522.0,0.9019316688567675
472,2003,CITY OF DAVAO,6154.01,5278.0,1.1659738537324744
474,2003,COTABATO,1067.51,2426.12,0.44000708950917516
475,2003,SARANGANI,121.83,144.0,0.8460416666666667
476,2003,SULTAN KUDARAT,6054.98,10668.0,0.567583427071616
477,2003,SOUTH COTABATO,1413.61,732.95,1.9286581622211607
479,2003,AGUSAN DEL NORTE,320.58,262.0,1.223587786259542
480,2003,AGUSAN DEL SUR,375.03,1650.0,0.22729090909090907
481,2003,DINAGAT ISLANDS,0.0,0.0,
482,2003,SURIGAO DEL NORTE,5.87,16.0,0.366875
483,2003,SURIGAO DEL SUR,3201.3,2650.0,1.2080377358490566
485,2003,BASILAN,2161.97,2907.0,0.7437117303061574
486,2003,LANAO DEL SUR,248.43,1972.0,0.12597870182555782
487,2003,MAGUINDANAO,2785.38,3425.0,0.8132496350364964
488,2003,SULU,2387.24,1021.0,2.338139079333986
489,2003,TAWI-TAWI,0.0,0.0,
491,2004,ZAMBOANGA DEL NORTE,275.06,367.0,0.7494822888283379
492,2004,ZAMBOANGA DEL SUR,86.52,127.0,0.681259842519685
493,2004,ZAMBOANGA SIBUGAY,58.72,84.58,0.6942539607472216
494,2004,CITY OF ZAMBOANGA,83.52,68.0,1.228235294117647
496,2004,BUKIDNON,4680.44,10500.0,0.4457561904761904
497,2004,CAMIGUIN,27.72,34.0,0.8152941176470588
498,2004,LANAO DEL NORTE,146.12,355.0,0.4116056338028169
499,2004,MISAMIS OCCIDENTAL,3.13,90.0,0.034777777777777776
500,2004,MISAMIS ORIENTAL,319.52,390.0,0.8192820512820512
502,2004,DAVAO DE ORO,11386.97,11513.0,0.9890532441587769
503,2004,DAVAO DEL NORTE,683.27,634.0,1.0777129337539433
504,2004,DAVAO DEL SUR,3215.73,2905.0,1.1069638554216867
505,2004,DAVAO OCCIDENTAL,0.0,0.0,
