year,location,weathercode (wmo code),temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),rain (mm),surface_pressure (hPa),cloudcover (%),et0_fao_evapotranspiration (mm),vapor_pressure_deficit (kPa),windspeed_10m (km/h),winddirection_10m (°),windgusts_10m (km/h),soil_temperature_28_to_100cm (°C),soil_moisture_28_to_100cm (m³/m³),direct_radiation (W/m²),diffuse_radiation (W/m²)
1995, Lanao del Sur,3,21.418904109589043,89.925,19.57775114155251,0.46906392694063925,897.2289611872146,70.58047945205479,0.1405502283105023,0.2859189497716895,4.590410958904109,138.3353881278539,18.639269406392692,22.96804794520548,0.4096420091324201,137.4593607305936,69.8783105022831
1996, Lanao del Sur,51,21.22755009107468,90.54496812386157,19.521174863387976,0.490790072859745,896.6226092896175,74.39594717668488,0.134801912568306,0.26333105646630234,4.863923041894353,146.17554644808743,18.548884335154828,22.69689207650273,0.41320582877959927,127.8754553734062,72.24043715846994
1997, Lanao del Sur,3,21.23109589041096,89.412100456621,19.301529680365295,0.3906963470319635,898.1388356164384,70.61929223744292,0.1435502283105023,0.29635616438356166,4.802785388127854,144.93299086757992,19.06263698630137,22.751792237442924,0.3995994292237443,146.21872146118722,67.13938356164384
1998, Lanao del Sur,1,22.15392694063927,86.30239726027398,19.503607305936075,0.39286529680365295,898.0601826484018,60.46244292237443,0.1540593607305936,0.417384703196347,4.712796803652968,120.45970319634704,19.59389269406393,23.752385844748858,0.3586013698630137,154.8503424657534,66.32191780821918
1999, Lanao del Sur,3,21.1511301369863,90.95981735159818,19.525057077625572,0.573527397260274,896.5085388127853,75.15787671232877,0.13160502283105022,0.25081278538812785,4.676073059360731,144.25239726027397,19.486712328767123,22.59985159817352,0.41810981735159813,121.8736301369863,72.89942922374429
2000, Lanao del Sur,51,21.250159380692168,90.53802367941712,19.54427367941712,0.49212204007285976,896.3940232240436,70.99692622950819,0.13369535519125683,0.2641917122040073,4.702561475409836,154.09278233151184,19.78441484517304,22.625717213114754,0.41266211293260474,124.4933970856102,73.32627504553734
2001, Lanao del Sur,3,21.285262557077626,90.33230593607306,19.539520547945205,0.4255251141552511,896.7001940639269,72.0466894977169,0.1347945205479452,0.2700011415525114,5.053744292237443,156.52945205479452,20.2312100456621,22.703687214611872,0.41394851598173515,127.83207762557078,72.40981735159818
2002, Lanao del Sur,3,21.32811643835616,89.37374429223745,19.38437214611872,0.3866095890410959,897.4334132420091,68.38767123287671,0.1415,0.29967922374429223,5.21898401826484,149.65079908675798,20.17672374429224,22.79037671232877,0.4039518264840183,143.3568493150685,67.09851598173516
2003, Lanao del Sur,3,21.305730593607308,90.14212328767124,19.516004566210047,0.4769292237442922,897.3272716894977,73.59349315068494,0.13391666666666666,0.27639497716894973,4.955399543378996,153.57534246575344,19.46158675799087,22.79412100456621,0.4088187214611872,126.30662100456621,71.64737442922375
2004, Lanao del Sur,51,21.325887978142077,90.08253642987249,19.52731102003643,0.3819102914389799,897.1740778688525,72.09938524590164,0.13900387067395265,0.27881944444444445,5.139355646630237,155.3563296903461,19.820377959927143,22.810029599271402,0.4067690118397086,137.11748633879782,70.0158242258652
