,surface_pressure (hPa),diffuse_radiation (W/m²),rain (mm),windgusts_10m (km/h),Yield (mt/ha)
450,1006.62,70.86,2180.9,14.8,0.055051546
451,1007.54,65.86,1938.2,19.4,0.042886598
452,1007.49,70.15,2405.9,15.5,0.036597938
453,1007.19,68.55,1619.7,13.0,0.034777778
454,1007.5,68.27,2095.0,15.8,0.043142857
455,1007.15,69.76,1908.3,19.1,0.041714286
456,1006.67,69.57,2215.4,19.8,0.041343284
457,1006.57,71.18,2475.9,15.1,0.078378378
458,1006.61,70.66,2577.3,16.9,0.085405405
459,1007.07,68.29,2279.4,11.9,0.101351351
460,1006.29,75.89,3186.0,17.6,0.114594595
461,1006.61,70.76,2281.8,19.4,0.132432432
462,1006.78,71.69,2380.5,16.2,0.167297297
463,1007.23,72.63,2718.7,12.6,0.206216216
464,1008.06,65.91,1890.1,15.5,0.241081081
465,1007.55,67.5,1779.1,16.2,0.240540541
466,1006.99,73.82,2915.9,11.9,0.237179487
467,1006.95,69.02,2106.3,20.5,0.233
468,1007.86,67.03,1540.2,13.3,0.190909091
469,1007.48,69.08,2504.3,13.3,0.21875
470,1006.93,72.48,3151.9,13.7,0.256875
471,972.415,69.11500000000001,2003.1,9.0,0.656755824
472,972.595,72.865,1808.95,7.9,0.820949094
473,972.915,72.83,1774.05,8.6,0.821025887
474,972.715,72.49,2476.05,9.7,0.821641791
475,972.47,70.8,2127.15,9.0,0.739466951
476,972.32,70.67500000000001,3174.05,9.4,0.821394737
477,971.69,72.72,3536.9500000000003,7.2,0.821403509
478,973.34,67.805,2268.3,7.6,0.738538012
479,973.02,66.965,2474.7,8.3,0.821402439
480,971.55,73.695,4060.0,7.9,0.821384615
481,971.38,73.42,3471.75,7.9,0.821384615
482,971.685,72.87,2691.2,8.6,0.810128866
483,972.55,68.75,2071.75,8.3,0.82674359
484,972.465,72.435,2685.1,9.7,0.879410256
485,972.215,71.00999999999999,2129.6,8.6,0.819282051
486,972.51,71.075,2712.75,9.0,0.787948718
487,972.22,71.27,2325.15,7.9,0.779307692
488,971.755,71.58500000000001,2986.5,7.2,0.797675676
489,971.655,72.75,3522.15,9.7,0.806410256
490,971.71,71.355,3100.05,8.6,0.882282051
491,972.195,69.055,3360.25,9.0,0.933333333
492,971.375,76.18,3669.8,9.4,0.897974684
