,Wind_Direction,Wind_Speed_(km/h),temperature_2m (°C),relativehumidity_2m (%),Yield (mt/ha)
61,6,5.4,26.91,77.85,0.065506579
62,8,5.4,26.91,79.61,0.068203593
63,6,5.9,26.52,82.7,0.067742515
64,11,5.4,27.2,83.59,0.430933235
65,10,7.7,27.28,81.51,0.460878735
66,11,4.7,27.18,81.93,0.439499471
67,6,4.1,27.07,82.82,0.420280273
68,10,6.9,27.05,83.47,0.417222422
69,8,6.9,27.06,83.94,0.405829741
70,7,4.7,26.76,86.0,0.380226293
71,8,3.6,27.03,83.28,0.518048261
72,8,5.1,27.56,82.27,0.498463449
73,2,5.6,26.67,86.68,0.459709729
74,6,5.4,26.81,86.42,0.648310974
75,0,5.4,26.85,86.49,0.630302718
76,4,3.1,27.24,82.56,0.618400413
77,4,5.4,27.17,82.77,0.74371173
78,12,10.0,27.06,84.37,0.614072927
79,12,5.2,27.14,83.5,0.599091847
80,11,4.7,26.96,86.15,0.608169935
81,12,5.0,26.99,85.67,0.613292054
82,2,6.6,26.75,86.7,0.597007224
83,13,8.9,27.05,86.12,0.591761266
84,2,5.2,27.44,83.6,0.57619539
85,11,4.0,26.81,87.03,0.565703474
86,10,5.4,26.91,86.55,0.548558652
87,11,4.7,26.98,86.36,0.532948056
88,11,4.7,27.04,84.92,0.521499828
89,11,4.0,27.29,82.78,0.521155831
90,11,4.0,27.65,83.37,0.505675955
91,12,6.8,27.11,86.46,0.507086343
92,6,3.6,27.29,85.32,0.547027864
93,10,5.4,27.64,81.23,0.531131751
94,11,4.0,27.56,82.93,0.542844857
95,6,4.6,27.2,85.86,0.491847265
96,1,4.2,22.68166666666667,83.97,0.454146016
97,1,6.3,22.41,84.87833333333333,0.453250471
98,1,6.0,22.66333333333333,82.15333333333332,0.429741352
99,1,3.4,22.365,85.8,0.420753441
100,1,11.6,22.275,85.93166666666667,0.42
101,1,12.9,22.49,86.01666666666667,0.418060167
102,4,3.6,22.206666666666667,87.895,0.416072302
103,4,4.1,22.24,86.51166666666667,0.4
104,1,5.2,23.21166666666667,81.94166666666666,0.400189723
105,5,4.2,22.051666666666662,88.78500000000001,0.401162055
106,5,4.2,22.09166666666667,88.41000000000001,0.401524813
107,1,5.2,22.19666666666667,87.94166666666666,0.4386
108,1,6.0,22.40833333333333,85.83,0.457785714
109,4,4.6,22.426666666666662,86.555,0.44656
110,1,4.7,22.488333333333333,86.22500000000001,0.44575619
111,1,3.4,22.596666666666664,85.41666666666667,0.446771292
112,1,8.9,22.331666666666667,86.94333333333333,0.472650718
113,4,5.4,22.468333333333334,86.91166666666668,0.474162679
114,4,4.1,22.183333333333334,87.99333333333334,0.466507177
115,4,3.6,22.356666666666666,87.71,0.447368421
116,1,3.4,22.796666666666667,85.75166666666667,0.512222222
117,4,3.6,22.21,89.19333333333333,0.505
118,4,3.1,22.246666666666663,88.16833333333334,0.436666667
119,4,4.6,22.386666666666667,88.22000000000001,0.452222222
120,4,4.6,22.36,88.04333333333334,0.465222222
121,1,6.0,22.626666666666665,85.94666666666667,0.468111111
122,1,6.0,23.156666666666663,84.64999999999999,0.486333333
